Stage,Size,1,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,
Task,,Textual question answering,Text summarization,Text summarization,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Text generation,Medical image processing,Medical image processing,Medical image processing,Medical image processing,Textual question answering,Information extraction,Disease diagnosis,Disease diagnosis,Disease diagnosis,Disease diagnosis,Disease diagnosis,Disease prediction,Disease diagnosis,Disease diagnosis,Disease diagnosis,Text summarization,Information extraction,Information extraction,Textual question answering,Textual question answering,Multimodal question answering,Multimodal question answering,Text generation,Text generation,Text generation,Medical image processing,Textual question answering,Multimodal question answering,Multimodal question answering,Multimodal question answering,Textual question answering,Disease prediction,Disease prediction,Disease prediction,Text generation,Text generation,Text generation,Text generation,Text summarization,Information extraction,Information extraction,Information extraction,Information extraction,Disease prediction,Disease prediction,Information extraction,Information extraction,Information extraction,Text generation,Text generation,Text generation,Text generation,Textual question answering
Sub-task,,Outpatient registration recommending,Report summarization,Report summarization,Report generation,Report generation,Report generation,ECG report generation,Report standardization,Report reprocessing,Report simplification,Report error check,Report error check,Imaging protocol generation ,Clinical histories generation,Image classfication,Image caption,Image segmentation,Image segmentation,Open question answering,Report extraction,Text classification,Clinical triage classification,Diagnosis conclusion generation,Diagnosis conclusion generation,Diagnosis conclusion generation,Respiratory health prediction,Disease classification,Disease classification,Disease classification,Medical question summarization,Disease feature extraction,Disease phenotypes extraction,Multi-choice question answering,Open question answering,Visual question answering,Visual question answering,Treatment plan recommendations,Clinical decision support (CDS) improving suggestions,Clinical letters generation,Image segmentation,Open question answering,Visual question answering,Voice conversations,Video question anwsering,Multi-choice question answering,Risk prediction,Survival Prediction,Survival Prediction,Clinical letters generation,Handoff notes generation,Informed consent document generation,Surgical consent forms simplification,Dialogue summarization,ICD codes assignment,Clinical named entity recognition,Disease feature recognition,Postoperative complications extraction,Disease recurrence prediction,Diagnosis-related Group (DRG) prediction,Disease phenotype recognition,Disease feature recognition,Social determinants of health extraction,Discharge letters generation,Discharge summaries generation,Discharge summaries simplification,Text de-Identification,Open question answering
Mandatory input,,text,text,image (2D)+text,text,image (2D),image (3D),text+ECG,text,text,text,text,image (2D)+text,text,text,image (2D),image (2D),image (2D),image (3D),text,text,text,text,text,image (2D),image (3D),text+audio,text,image (2D),text,image (2D)+text,text,text,text,text,image (2D),image (3D),text,text,text,image (3D)+text,text,image (2D)+text,audio,video+text,text,text,text,image (2D),text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
Optional input,,,,,,text,text,,,,,,,,,text,,,,,,,,,text,text,,,text,time-series,,,,,,text,text,,,,,,,text,,,,,text,,,,,,,,,,,,,,,,,,,
Output,,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,image (2D),image (3D),text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,image (3D),text,text,audio,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
GPT-3.5,175B,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,1,0,2,11,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
GPT-4,,1,2,1,0,1,0,0,1,1,3,0,2,3,1,0,0,0,0,3,1,0,3,13,2,0,0,2,1,0,0,4,1,16,13,1,0,8,0,1,0,6,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,3,2,0
EHR-KnowGen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Bard,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaLM2(bison@001),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GatorTron,345M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
