Stage,Size,pre_num,pre_gpu,TDP1,pre_TDP,fin_num,fin_gpu,TDP2,fin_TDP,infe_num,infe_gpu,TDP3,infe_TDP,pre_m,fin_m,infe_m,access,price1,pre_price,price2,fin_price,price3,infe_price
Task,,,,,,,,,,,,,,,,,,,,,,,
Sub-task,,,,,,,,,,,,,,,,,,,,,,,
Mandatory input,,,,,,,,,,,,,,,,,,,,,,,
Optional input,,,,,,,,,,,,,,,,,,,,,,,
Output,,,,,,,,,,,,,,,,,,,,,,,
GPT-3.5,175B,,,,,,,,,,,,,,,,api,,,,,,
GPT-4,,,,,,,,,,,,,,,,,api,,,,,,
EHR-KnowGen,,2,NVIDIA TESLA A100-80GB,300,600,,,,,,,,,160,,,restricted,18000,36000,,,,
Google Bard,,,,,,,,,,,,,,,,,api,,,,,,
PaLM2(bison@001),,,,,,,,,,,,,,,,,open,,,,,,
GatorTron,345M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
GatorTron,3.9B,,,,,,,,,,,,,,,,open,,,,,,
GatorTron,8.9B,992,NVIDIA TESLA A100-80GB,300,297600,,,,,,,,,79360,,,open,18000,17856000,,,,
PhenoBCBERT,110M,,,,,1,2GB GPU,,,,,,,,2,,open,,,,,,
PhenoGPT (Falcon),7B,,,,,1,70GB GPU,,,,,,,,70,,open,,,,,,
Med-Flamingo,9B,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,open,18000,144000,,,,
GestaltGPT (Falcon),7B,,,,,,,,,,,,,,,,open,,,,,,
Med-MLLM,8.9B,,,,,,,,,,,,,,,,restricted,,,,,,
GPT-4V,,,,,,,,,,,,,,,,,api,,,,,,
SkinGPT-4,40B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,1,NVIDIA TESLA A100-80GB,300,300,,640,80,open,,,18000,144000,18000,18000
OphGLM,6.2B,,,,,,,,,,,,,,,,open,,,,,,
accGPT (GPT-4),,,,,,,,,,,,,,,,,api,,,,,,
Glass AI 1.0,,,,,,,,,,,,,,,,,api,,,,,,
Radiology-Llama2,7B,,,,,4,NVIDIA TESLA A100-80GB,300,1200,,,,,,320,,restricted,,,18000,72000,,
ChatRadio-Valuer,7B,,,,,,,,,,,,,,,,restricted,,,,,,
PEGASUS,568M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
CLIPSyntel,175B,,,,,,,,,,,,,,,,restricted,,,,,,
RaDialog,7B,,,,,1,NVIDIA A40,300,300,,,,,,48,,open,,,7799,7799,,
OpenLLaMA,7B,,,,,1,24GB GPU,,,,,,,,24,,restricted,,,,,,
RadBloomz,7B,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,restricted,18000,144000,,,,
LLaMA,,,,,,,,,,,,,,,,,open,,,,,,
LLaMA,7B,,,,,2,NVIDIA TESLA A100-40GB,250,500,1,80GB GPU,,,,80,80,open,,,6999,13998,,
LLaMA,13B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA,70B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA2,,,,,,,,,,,,,,,,,open,,,,,,
LLaMA2,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
LLaMA2,13B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
LLaMA2,70B,,,,,,,,,,,,,,,,open,,,,,,
Vicuna,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
Vicuna,13B,,,,,,,,,,,,,,,,open,,,,,,
Bing Chat,,,,,,,,,,,,,,,,,api,,,,,,
FraCGPT-3.5,175B,,,,,,,,,,,,,,,,api,,,,,,
FraCGPT-4,,,,,,,,,,,,,,,,,api,,,,,,
Flan-PaLM,540B,,,,,,,,,,,,,,,,restricted,,,,,,
Med-PaLM,12B,,,,,,,,,,,,,,,,restricted,,,,,,
