Stage,Size,pre_num,pre_gpu,TDP1,pre_TDP,fin_num,fin_gpu,TDP2,fin_TDP,infe_num,infe_gpu,TDP3,infe_TDP,pre_m,fin_m,infe_m,access,price1,pre_price,price2,fin_price,price3,infe_price
Task,,,,,,,,,,,,,,,,,,,,,,,
Sub-task,,,,,,,,,,,,,,,,,,,,,,,
Mandatory input,,,,,,,,,,,,,,,,,,,,,,,
Optional input,,,,,,,,,,,,,,,,,,,,,,,
Output,,,,,,,,,,,,,,,,,,,,,,,
GPT-3.5,175B,,,,,,,,,,,,,,,,API,,,,,,
GPT-4,,,,,,,,,,,,,,,,,API,,,,,,
EHR-KnowGen,,2,NVIDIA TESLA A100-80GB,300,600,,,,,,,,,160,,,Restricted,18000,36000,,,,
Google Bard,,,,,,,,,,,,,,,,,API,,,,,,
PaLM2(bison@001),,,,,,,,,,,,,,,,,Open,,,,,,
GatorTron,345M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
GatorTron,3.9B,,,,,,,,,,,,,,,,Open,,,,,,
GatorTron,8.9B,992,NVIDIA TESLA A100-80GB,300,297600,,,,,,,,,79360,,,Open,18000,17856000,,,,
PhenoBCBERT,110M,,,,,1,2GB GPU,,,,,,,,2,,Open,,,,,,
PhenoGPT (Falcon),7B,,,,,1,70GB GPU,,,,,,,,70,,Open,,,,,,
Med-Flamingo,9B,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,Open,18000,144000,,,,
GestaltGPT (Falcon),7B,,,,,,,,,,,,,,,,Open,,,,,,
Med-MLLM,8.9B,,,,,,,,,,,,,,,,Restricted,,,,,,
GPT-4V,,,,,,,,,,,,,,,,,API,,,,,,
SkinGPT-4,40B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,1,NVIDIA TESLA A100-80GB,300,300,,640,80,Open,,,18000,144000,18000,18000
OphGLM,6.2B,,,,,,,,,,,,,,,,Open,,,,,,
accGPT (GPT-4),,,,,,,,,,,,,,,,,API,,,,,,
Glass AI 1.0,,,,,,,,,,,,,,,,,API,,,,,,
Radiology-Llama2,7B,,,,,4,NVIDIA TESLA A100-80GB,300,1200,,,,,,320,,Restricted,,,18000,72000,,
ChatRadio-Valuer,7B,,,,,,,,,,,,,,,,Restricted,,,,,,
PEGASUS,568M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
CLIPSyntel,175B,,,,,,,,,,,,,,,,Restricted,,,,,,
RaDialog,7B,,,,,1,NVIDIA A40,300,300,,,,,,48,,Open,,,7799,7799,,
OpenLLaMA,7B,,,,,1,24GB GPU,,,,,,,,24,,Restricted,,,,,,
RadBloomz,7B,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,Restricted,18000,144000,,,,
LLaMA,,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA,7B,,,,,2,NVIDIA TESLA A100-40GB,250,500,1,80GB GPU,,,,80,80,Open,,,6999,13998,,
LLaMA,13B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA,70B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA2,,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA2,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
LLaMA2,13B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
LLaMA2,70B,,,,,,,,,,,,,,,,Open,,,,,,
Vicuna,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
Vicuna,13B,,,,,,,,,,,,,,,,Open,,,,,,
Bing Chat,,,,,,,,,,,,,,,,,API,,,,,,
FraCGPT-3.5,175B,,,,,,,,,,,,,,,,API,,,,,,
FraCGPT-4,,,,,,,,,,,,,,,,,API,,,,,,
Flan-PaLM,540B,,,,,,,,,,,,,,,,Restricted,,,,,,
